created_at,user,text_clean,text_preprocessed
2022-04-18 03:00:01+00:00,CNN Indonesia,pemerintah menggelontorkan rp triliun untuk bantuan langsung tunai blt minyak goreng selama ramadan simak skema penyalurannya dalam,"['perintah', 'gelontor', 'rp', 'triliun', 'bantu', 'langsung', 'tunai', 'blt', 'minyak', 'goreng', 'ramadan', 'simak', 'skema', 'salur']"
2022-04-18 02:59:17+00:00,j̶̶a̶c̶̶k̶⚡ᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,blt minyak goreng rp  bakal cairnayo percaya jokowi,"['blt', 'minyak', 'goreng', 'rp', 'cairnayo', 'percaya', 'jokowi']"
2022-04-18 02:57:55+00:00,Nyai Blorong,ayo percaya jokowi siapsiap blt minyak goreng cair minggu depan lewat kantor posn,"['ayo', 'percaya', 'jokowi', 'siapsiap', 'blt', 'minyak', 'goreng', 'cair', 'minggu', 'kantor', 'posn']"
2022-04-18 02:57:00+00:00,David Sidharta,sorry saat zaman habibie beras harga  di turunkan sampe  saat gusdurnminyak goreng jadi masalah nasional  gua punya saudara jualan migordi tv di sebut harga  ehhh di pasar modal toko aja  berantem penjual sama pembelinbanyak lagi yg kurang nya cuma lupa aja,"['sorry', 'zaman', 'habibie', 'beras', 'harga', 'turun', 'sampe', 'gusdurnminyak', 'goreng', 'nasional', 'gua', 'saudara', 'jual', 'migordi', 'tv', 'harga', 'ehhh', 'pasar', 'modal', 'toko', 'aja', 'antem', 'jual', 'pembelinbanyak', 'yg', 'nya', 'lupa', 'aja']"
2022-04-18 02:56:39+00:00,BUMN_KabupatenToba_ Jago,an asosiasi pedagang pasar pemangku kepentingan lainnyannpresiden joko widodo turut melakukan pengecekkan dan meninjau harga minyak goreng nke pasar rakyatnnmenteri bumn erick thohir mengatakan hal ini juga merupakan bagian dari peran bumn untuk melayani masyarakat dengan bai,"['an', 'asosiasi', 'dagang', 'pasar', 'mang', 'penting', 'lainnyannpresiden', 'joko', 'widodo', 'ecek', 'tinjau', 'harga', 'minyak', 'goreng', 'nke', 'pasar', 'rakyatnnmenteri', 'bumn', 'erick', 'thohir', 'peran', 'bumn', 'layan', 'masyarakat', 'bai']"
2022-04-18 02:56:39+00:00,BUMN_KabupatenToba_ Jago,sobat bumn nnbumn holding pangan telah mendistribusikan minyak goreng ke pasar  pasar rakyat sebanyak  juta liter nnpendistribusian minyak goreng ini merupakan wujud kolaborasi bumn pangan id food group badan pangan nasional kementerian perdagangan kementerian perindustri,"['sobat', 'bumn', 'nnbumn', 'holding', 'pangan', 'distribusi', 'minyak', 'goreng', 'pasar', 'pasar', 'rakyat', 'juta', 'liter', 'nnpendistribusian', 'minyak', 'goreng', 'wujud', 'kolaborasi', 'bumn', 'pangan', 'id', 'food', 'group', 'badan', 'pangan', 'nasional', 'menteri', 'dagang', 'menteri', 'industri']"
2022-04-18 02:56:34+00:00,Dhenny Derangga,blt minyak goreng untuk jaga daya beli masyarakat miskin ayo percaya jokowi,"['blt', 'minyak', 'goreng', 'jaga', 'daya', 'beli', 'masyarakat', 'miskin', 'ayo', 'percaya', 'jokowi']"
2022-04-18 02:55:51+00:00,NTMC INFO,pastikan ketersedian minyak goreng kapolres jaktim kunjungi pasar cibubur ciracasnn,"['pasti', 'dian', 'minyak', 'goreng', 'kapolres', 'jaktim', 'kunjung', 'pasar', 'cibubur', 'ciracasnn']"
2022-04-18 02:54:40+00:00,Bumnjakarta Siaga,kementerian perindustrian asosiasi pedagang pasar pemangku kepentingan lainnyannpresiden joko widodo turut melakukan pengecekkan dan meninjau harga minyak goreng nke pasar rakyatnnmenteri bumn erick thohir mengatakan hal ini juga  n,"['menteri', 'industri', 'asosiasi', 'dagang', 'pasar', 'mang', 'penting', 'lainnyannpresiden', 'joko', 'widodo', 'ecek', 'tinjau', 'harga', 'minyak', 'goreng', 'nke', 'pasar', 'rakyatnnmenteri', 'bumn', 'erick', 'thohir', 'n']"
2022-04-18 02:54:38+00:00,Bumnjakarta Siaga,bumn holding pangan telah mendistribusikan minyak goreng ke pasar  pasar rakyat sebanyak  juta liter nnpendistribusian minyak goreng ini merupakan wujud kolaborasi bumn pangan id food group badan pangan nasional kementerian perdagangannnn,"['bumn', 'holding', 'pangan', 'distribusi', 'minyak', 'goreng', 'pasar', 'pasar', 'rakyat', 'juta', 'liter', 'nnpendistribusian', 'minyak', 'goreng', 'wujud', 'kolaborasi', 'bumn', 'pangan', 'id', 'food', 'group', 'badan', 'pangan', 'nasional', 'menteri', 'perdagangannnn']"
2022-04-18 02:54:02+00:00,Korem 072 Pamungkas,babinsa depok pemantauan penyaluran bpnt dan subsidi minyak goreng,"['babinsa', 'depok', 'pantau', 'salur', 'bpnt', 'subsidi', 'minyak', 'goreng']"
2022-04-18 02:53:03+00:00,Zeckho_ko2,terpelesat karena minyak goreng tumpah xfxfxx,"['pelesat', 'minyak', 'goreng', 'tumpah', 'xfxfxx']"
